央视高清,#genre#
CCTV-1高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225501/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225618/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225642/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225762/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225918/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225630/2/index.m3u8?fmt=ts2hls
CCTV-2高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225500/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225619/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225643/2/index.m3u8?fmt=ts2hls
CCTV-3高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225634/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225647/2/index.m3u8?fmt=ts2hls
CCTV-4高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225621/2/index.m3u8?fmt=ts2hls
CCTV-5高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225633/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225751/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225752/2/index.m3u8?fmt=ts2hls
CCTV-6高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225632/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225650/2/index.m3u8?fmt=ts2hls
CCTV-7高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225499/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225624/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225644/2/index.m3u8?fmt=ts2hls
CCTV-8高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225631/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225635/2/index.m3u8?fmt=ts2hls
CCTV-9高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225626/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225646/2/index.m3u8?fmt=ts2hls
CCTV-10高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225496/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225627/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225636/2/index.m3u8?fmt=ts2hls
CCTV-11高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225628/2/index.m3u8?fmt=ts2hls
CCTV-12高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225495/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225629/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225637/2/index.m3u8?fmt=ts2hls
CCTV-13高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225638/2/index.m3u8?fmt=ts2hls
CCTV-14高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225494/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225639/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225640/2/index.m3u8?fmt=ts2hls
CCTV-15高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225641/2/index.m3u8?fmt=ts2hls
CCTV-5＋高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225649/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225706/2/index.m3u8?fmt=ts2hls
CCTV奥林匹克频道,http://223.110.242.133:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ
CCTV-17高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225907/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225909/2/index.m3u8?fmt=ts2hls
CGTN,http://39.135.140.226:6410/PLTV/88888888/224/3221225645/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225747/2/index.m3u8?fmt=ts2hls
CETV-1高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225917/2/index.m3u8?fmt=ts2hls
CETV-1,http://39.135.140.226:6410/PLTV/88888888/224/3221225563/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225661/2/index.m3u8?fmt=ts2hls
CETV-4,http://39.135.140.226:6410/PLTV/88888888/224/3221225969/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225937/2/index.m3u8?fmt=ts2hls
卫视高清,#genre#
安徽卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225691/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225737/2/index.m3u8?fmt=ts2hls

湖南卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225490/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225704/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225745/2/index.m3u8?fmt=ts2hls

浙江卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225491/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225703/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225744/2/index.m3u8?fmt=ts2hls

湖北卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225596/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225699/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225740/2/index.m3u8?fmt=ts2hls

广东卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225597/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225701/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225742/2/index.m3u8?fmt=ts2hls

深圳卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225598/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225700/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225741/2/index.m3u8?fmt=ts2hls

北京卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225600/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225673/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225674/2/index.m3u8?fmt=ts2hls

江西卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225492/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225705/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225746/2/index.m3u8?fmt=ts2hls

东南卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225585/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225657/2/index.m3u8?fmt=ts2hls

河北卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225610/2/index.m3u8?fmt=ts2hls

河南卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225611/2/index.m3u8?fmt=ts2hls

重庆卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225612/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225692/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225734/2/index.m3u8?fmt=ts2hls

贵州卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225483/2/index.m3u8?fmt=ts2hls

山东卫视高清,http://39.135.140.226:6410/PLTV/88888888/224/3221225484/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225697/2/index.m3u8?fmt=ts2hls#http://39.135.140.226:6410/PLTV/88888888/224/3221225738/2/index.m3u8?fmt=ts2hls

